"Name","c_1","c_2","val_loss"
"vibrant-sweep-441","5","5","0.34656081597010296"
"electric-sweep-440","5","4.75","0.4241392970085144"
"vibrant-sweep-439","5","4.5","0.36583447058995566"
"serene-sweep-438","5","4.25","0.35192216833432516"
"toasty-sweep-437","5","4","0.29550445278485615"
"worthy-sweep-436","5","3.75","0.30326961874961855"
"fancy-sweep-435","5","3.5","0.3238451540470123"
"light-sweep-434","5","3.25","0.3140597561995188"
"peach-sweep-433","5","3","0.2605250080426534"
"worldly-sweep-432","5","2.75","0.40148367881774905"
"giddy-sweep-431","5","2.5","0.2820839067300161"
"morning-sweep-430","5","2.25","0.2894970734914144"
"elated-sweep-429","5","2","0.17425001462300618"
"glowing-sweep-428","5","1.75","0.2089659442504247"
"lyric-sweep-427","5","1.5","0.1613043417533239"
"absurd-sweep-426","5","1.25","0.24747145970662435"
"effortless-sweep-425","5","1","0.20440953771273296"
"fallen-sweep-424","5","0.75","0.16906677881876628"
"dark-sweep-423","5","0.5","0.17500101427237194"
"generous-sweep-422","5","0.25","0.1602457304795583"
"light-sweep-421","5","0","0.7437323768933614"
"vocal-sweep-419","4.75","4.75","0.4241392970085144"
"amber-sweep-420","4.75","5","0.5279066046079"
"noble-sweep-418","4.75","4.5","0.30917889475822447"
"comfy-sweep-417","4.75","4.25","0.35192216833432516"
"dandy-sweep-416","4.75","4","0.2739232341448466"
"still-sweep-415","4.75","3.75","0.3122060934702555"
"distinctive-sweep-414","4.75","3.5","0.3097378373146057"
"azure-sweep-413","4.75","3.25","0.3012100140253703"
"comic-sweep-412","4.75","3","0.3379524827003479"
"major-sweep-411","4.75","2.75","0.3139205495516459"
"fallen-sweep-410","4.75","2.5","0.17348096867402393"
"solar-sweep-409","4.75","2.25","0.29142728050549827"
"astral-sweep-408","4.75","2","0.2353673915068309"
"chocolate-sweep-407","4.75","1.75","0.2192493071158727"
"happy-sweep-406","4.75","1.5","0.1757020026445389"
"rose-sweep-405","4.75","1.25","0.2370009998480479"
"chocolate-sweep-404","4.75","1","0.19066991607348124"
"dashing-sweep-403","4.75","0.75","0.17602290312449137"
"dauntless-sweep-402","4.75","0.5","0.16687663594881694"
"fallen-sweep-401","4.75","0.25","0.15766503512859345"
"different-sweep-400","4.75","0","0.7368810375531515"
"vocal-sweep-399","4.5","5","0.3007527728875478"
"stoic-sweep-398","4.5","4.75","0.28553135991096495"
"dry-sweep-397","4.5","4.5","0.36583447058995566"
"sweet-sweep-396","4.5","4.25","0.35192216833432516"
"comic-sweep-395","4.5","4","0.23355197310447692"
"feasible-sweep-394","4.5","3.75","0.3247648040453593"
"distinctive-sweep-393","4.5","3.5","0.35067535638809205"
"colorful-sweep-392","4.5","3.25","0.2909853835900625"
"sandy-sweep-391","4.5","3","0.3310206850369771"
"revived-sweep-390","4.5","2.75","0.373485791683197"
"lunar-sweep-389","4.5","2.5","0.18081139226754503"
"dashing-sweep-388","4.5","2.25","0.2879794776439667"
"hopeful-sweep-387","4.5","2","0.31448140541712444"
"snowy-sweep-386","4.5","1.75","0.2008475701014201"
"twilight-sweep-385","4.5","1.5","0.1740610828002294"
"fiery-sweep-384","4.5","1.25","0.27080847024917604"
"stellar-sweep-383","4.5","1","0.19693539837996168"
"expert-sweep-382","4.5","0.75","0.15439120133717854"
"elated-sweep-381","4.5","0.5","0.1996317873398463"
"generous-sweep-380","4.5","0.25","0.14473051925500233"
"cosmic-sweep-379","4.5","0","0.7562863787015279"
"dry-sweep-378","4.25","5","0.3151229997475942"
"worldly-sweep-377","4.25","4.75","0.3776984214782715"
"gentle-sweep-376","4.25","4.5","0.36583447058995566"
"amber-sweep-375","4.25","4.25","0.35192216833432516"
"snowy-sweep-374","4.25","4","0.32382684350013735"
"dulcet-sweep-373","4.25","3.75","0.3419234335422516"
"trim-sweep-372","4.25","3.5","0.3179575125376383"
"proud-sweep-371","4.25","3.25","0.32165057261784874"
"happy-sweep-370","4.25","3","0.3441265364487966"
"rare-sweep-369","4.25","2.75","0.24952036738395691"
"comic-sweep-367","4.25","2.25","0.24731693267822263"
"silvery-sweep-368","4.25","2.5","0.1808947294950485"
"easy-sweep-366","4.25","2","0.18815930684407553"
"summer-sweep-365","4.25","1.75","0.17976290186246235"
"classic-sweep-364","4.25","1.5","0.18444601098696392"
"dulcet-sweep-363","4.25","1.25","0.22221331497033436"
"helpful-sweep-362","4.25","1","0.21075965066750843"
"effortless-sweep-361","4.25","0.75","0.16321887373924254"
"vital-sweep-360","4.25","0.5","0.24089096585909525"
"smooth-sweep-359","4.25","0.25","0.12860639492670695"
"electric-sweep-358","4.25","0","0.7341460943222046"
"sage-sweep-357","4","5","0.33432955940564474"
"jolly-sweep-356","4","4.75","0.4241392970085144"
