"Name","c_2","num_particles","num_per_layer","num_hidden_layers","c_1","omega","epochs","_wandb","epoch","val_loss","train_loss"
"ethereal-sweep-341","2","100","20","1","2","0.9","250","null","249","0.09955927282571791","0.10842760735087924"
"stellar-sweep-340","2","100","19","1","2","0.9","250","null","249","0.1485350747903188","0.12612584796216753"
"prime-sweep-339","2","100","18","1","2","0.9","250","null","249","0.10765634576479594","0.1074936462773217"
"volcanic-sweep-338","2","100","17","1","2","0.9","250","null","249","0.11897540390491486","0.12391087512175242"
"grateful-sweep-337","2","100","16","1","2","0.9","250","null","249","0.10511484593153","0.0894588894314236"
"balmy-sweep-336","2","100","15","1","2","0.9","250","null","249","0.16417528887589772","0.1524994555446837"
"silver-sweep-335","2","100","14","1","2","0.9","250","null","249","0.15782898366451265","0.13085908823543124"
"rose-sweep-334","2","100","13","1","2","0.9","250","null","249","0.09663941711187364","0.09853277934922113"
"worthy-sweep-333","2","100","12","1","2","0.9","250","null","249","0.16006999214490256","0.1362934711906645"
"genial-sweep-332","2","100","11","1","2","0.9","250","null","249","0.07683101842800776","0.06277215224173334"
"ruby-sweep-331","2","100","10","1","2","0.9","250","null","249","0.098855755229791","0.09910975280735228"
"lyric-sweep-330","2","98","20","1","2","0.9","250","null","249","0.11176002273956936","0.11700130932860904"
"smart-sweep-329","2","98","19","1","2","0.9","250","null","249","0.15036603212356567","0.13136740823586782"
"snowy-sweep-328","2","98","18","1","2","0.9","250","null","249","0.13482480148474377","0.1432105554474725"
"vocal-sweep-327","2","98","17","1","2","0.9","250","null","249","0.11313900748888651","0.11939385781685512"
"woven-sweep-326","2","98","16","1","2","0.9","250","null","249","0.11473347445329032","0.09811285618278716"
"brisk-sweep-325","2","98","15","1","2","0.9","250","null","249","0.0842093879977862","0.08799748337931103"
"lyric-sweep-324","2","98","14","1","2","0.9","250","null","249","0.10706987579663596","0.07929464015695784"
"smart-sweep-323","2","98","13","1","2","0.9","250","null","249","0.1031855136156082","0.09279806150330436"
"sunny-sweep-322","2","98","12","1","2","0.9","250","null","249","0.1500563442707062","0.13357964803775152"
"divine-sweep-321","2","98","11","1","2","0.9","250","null","249","0.11625064114729564","0.10103294667270447"
"wandering-sweep-320","2","98","10","1","2","0.9","250","null","249","0.1291889677445094","0.13131779233614604"
"radiant-sweep-319","2","96","20","1","2","0.9","250","null","249","0.17220305105050404","0.14717822439140743"
"classic-sweep-318","2","96","19","1","2","0.9","250","null","249","0.14664692878723146","0.14463412529892392"
"dulcet-sweep-317","2","96","18","1","2","0.9","250","null","249","0.11117488741874695","0.10896925942765344"
"absurd-sweep-316","2","96","17","1","2","0.9","250","null","249","0.14721214671929678","0.16910707188977137"
"scarlet-sweep-315","2","96","16","1","2","0.9","250","null","249","0.09561145454645156","0.10264233582549626"
"northern-sweep-314","2","96","15","1","2","0.9","250","null","249","0.15958844621976218","0.11638388103908964"
"electric-sweep-313","2","96","14","1","2","0.9","250","null","249","0.09240530282258988","0.0910229105088446"
"gallant-sweep-312","2","96","13","1","2","0.9","250","null","249","0.14890177845954894","0.11731595363881853"
"fearless-sweep-311","2","96","12","1","2","0.9","250","null","249","0.13464634418487548","0.09443268676598866"
"drawn-sweep-310","2","96","11","1","2","0.9","250","null","249","0.1557842195034027","0.14389089445273082"
"pious-sweep-309","2","96","10","1","2","0.9","250","null","249","0.12300446629524232","0.10550033036205504"
"stellar-sweep-308","2","94","20","1","2","0.9","250","null","249","0.16314569513003033","0.15880906813674503"
"celestial-sweep-307","2","94","19","1","2","0.9","250","null","249","0.09441280464331309","0.09266329523589877"
"smart-sweep-306","2","94","18","1","2","0.9","250","null","249","0.14303811391194662","0.16140960719850328"
"logical-sweep-305","2","94","17","1","2","0.9","250","null","249","0.14264221787452697","0.1422393646505144"
"icy-sweep-304","2","94","16","1","2","0.9","250","null","249","0.13776513536771137","0.133087952931722"
"proud-sweep-303","2","94","15","1","2","0.9","250","null","249","0.13920708696047465","0.14097049948241974"
"hardy-sweep-302","2","94","14","1","2","0.9","250","null","249","0.12847414910793303","0.12939297109842302"
"stoic-sweep-301","2","94","13","1","2","0.9","250","null","249","0.14805726905663807","0.12257011118862364"
"quiet-sweep-300","2","94","12","1","2","0.9","250","null","249","0.13393257757027943","0.11729445887936486"
"sleek-sweep-299","2","94","11","1","2","0.9","250","null","249","0.10608090311288834","0.09471827579869165"
"cosmic-sweep-298","2","94","10","1","2","0.9","250","null","249","0.17336597740650178","0.12917081084516313"
"worthy-sweep-297","2","92","20","1","2","0.9","250","null","249","0.12994366884231567","0.12391837769084509"
"honest-sweep-296","2","92","19","1","2","0.9","250","null","249","0.11171948115030925","0.09898229092359542"
"still-sweep-295","2","92","18","1","2","0.9","250","null","249","0.1506037692228953","0.14188420706325108"
"youthful-sweep-294","2","92","17","1","2","0.9","250","null","249","0.13277124265829723","0.1111233746012052"
"earnest-sweep-293","2","92","16","1","2","0.9","250","null","249","0.12882304886976878","0.10273865146769418"
"amber-sweep-292","2","92","15","1","2","0.9","250","null","249","0.1329310804605484","0.12291566265953913"
"astral-sweep-291","2","92","14","1","2","0.9","250","null","249","0.09155401090780894","0.09969620953003563"
"scarlet-sweep-290","2","92","13","1","2","0.9","250","null","249","0.12607161998748778","0.10060599545637766"
"easy-sweep-289","2","92","12","1","2","0.9","250","null","249","0.15322049756844838","0.12563318924771416"
"vocal-sweep-288","2","92","11","1","2","0.9","250","null","249","0.1205751985311508","0.10629616015487248"
"sunny-sweep-287","2","92","10","1","2","0.9","250","null","249","0.0997866248091062","0.10128257837560442"
"stoic-sweep-286","2","90","20","1","2","0.9","250","null","249","0.16155057847499849","0.13830841581026712"
"fresh-sweep-285","2","90","19","1","2","0.9","250","null","249","0.11730319013198216","0.10349700467454062"
"valiant-sweep-284","2","90","18","1","2","0.9","250","null","249","0.15486564934253694","0.149796066681544"
"atomic-sweep-283","2","90","17","1","2","0.9","250","null","249","0.205219038327535","0.16943147480487825"
"rosy-sweep-282","2","90","16","1","2","0.9","250","null","249","0.1114662081003189","0.11493075125747255"
"good-sweep-281","2","90","15","1","2","0.9","250","null","249","0.155894868572553","0.1554839081234402"
"revived-sweep-280","2","90","14","1","2","0.9","250","null","249","0.14173649350802103","0.153174579805798"
"splendid-sweep-279","2","90","13","1","2","0.9","250","null","249","0.15566943387190502","0.14036074827114742"
"curious-sweep-278","2","90","12","1","2","0.9","250","null","249","0.16486984093983967","0.1627908166911867"
"unique-sweep-277","2","90","11","1","2","0.9","250","null","249","0.15653201639652253","0.14018973840607538"
"worldly-sweep-276","2","90","10","1","2","0.9","250","null","249","0.0891525814930598","0.07283613002962536"
"olive-sweep-275","2","88","20","1","2","0.9","250","null","249","0.09388640373945235","0.08615943276219898"
"daily-sweep-274","2","88","19","1","2","0.9","250","null","249","0.12826824486255645","0.12312621623277664"
"still-sweep-273","2","88","18","1","2","0.9","250","null","249","0.10511390467484792","0.09318556355105506"
"ruby-sweep-272","2","88","17","1","2","0.9","250","null","249","0.10634171615044276","0.09723216692606608"
"decent-sweep-271","2","88","16","1","2","0.9","250","null","249","0.11012076089779536","0.11726572199000251"
"magic-sweep-270","2","88","15","1","2","0.9","250","null","249","0.1801190843184789","0.12396540194749832"
"fragrant-sweep-269","2","88","14","1","2","0.9","250","null","249","0.10345827986796698","0.08181849916776021"
"sparkling-sweep-268","2","88","13","1","2","0.9","250","null","249","0.13335494299729664","0.10991800559891594"
"stellar-sweep-267","2","88","12","1","2","0.9","250","null","249","0.10641409456729888","0.08060159219635857"
"clear-sweep-266","2","88","11","1","2","0.9","250","null","249","0.097547709941864","0.0962311158577601"
"deft-sweep-265","2","88","10","1","2","0.9","250","null","249","0.10036560396353404","0.10772592971722283"
"good-sweep-264","2","86","20","1","2","0.9","250","null","249","0.08376113722721736","0.06600750237703323"
"floral-sweep-263","2","86","19","1","2","0.9","250","null","249","0.09491517146428426","0.09371596707238092"
"electric-sweep-262","2","86","18","1","2","0.9","250","null","249","0.09272834410270056","0.10780598537789451"
"upbeat-sweep-260","2","86","16","1","2","0.9","250","null","249","0.11416829427083332","0.1280611937244733"
"graceful-sweep-261","2","86","17","1","2","0.9","250","null","249","0.12181109786033632","0.11970045069853465"
"major-sweep-259","2","86","15","1","2","0.9","250","null","249","0.1701842168966929","0.1569131268395318"
"colorful-sweep-257","2","86","13","1","2","0.9","250","null","249","0.12021821240584056","0.11469942463768854"
"wild-sweep-258","2","86","14","1","2","0.9","250","null","249","0.12554740607738496","0.11108746959103478"
"icy-sweep-256","2","86","12","1","2","0.9","250","null","249","0.1636490245660146","0.1675659484333462"
"earthy-sweep-254","2","86","10","1","2","0.9","250","null","249","0.1695430099964142","0.15573209159904056"
"earnest-sweep-255","2","86","11","1","2","0.9","250","null","249","0.12226325770219168","0.11497999578714373"
"solar-sweep-253","2","84","20","1","2","0.9","250","null","249","0.1575496385494868","0.14695030086570315"
