"Name","c_1","num_particles","num_hidden_layers","c_2","omega","epochs","num_per_layer","_wandb","epoch","val_loss","train_loss"
"still-sweep-500","2","100","5","2","0.9","250","10","null","249","0.2030687799056371","0.2000483300950792"
"cerulean-sweep-499","2","99","5","2","0.9","250","10","null","249","0.1874600072701772","0.16807185709476472"
"polished-sweep-498","2","98","5","2","0.9","250","10","null","249","0.1805373768011729","0.17155295113722482"
"apricot-sweep-497","2","97","5","2","0.9","250","10","null","249","0.16846335629622142","0.17580187519391377"
"worthy-sweep-496","2","96","5","2","0.9","250","10","null","249","0.1900881071885427","0.1853790243466695"
"fragrant-sweep-495","2","95","5","2","0.9","250","10","null","249","0.19492779672145844","0.20000053445498148"
"fine-sweep-494","2","94","5","2","0.9","250","10","null","249","0.228251322110494","0.21139538420571224"
"generous-sweep-493","2","93","5","2","0.9","250","10","null","249","0.2331229557593663","0.21014841232034895"
"worthy-sweep-492","2","92","5","2","0.9","250","10","null","249","0.17984859744707743","0.19061586790614657"
"robust-sweep-491","2","91","5","2","0.9","250","10","null","249","0.16004224320252736","0.16577445997132195"
"eager-sweep-490","2","90","5","2","0.9","250","10","null","249","0.185929744442304","0.1572938707139757"
"drawn-sweep-489","2","89","5","2","0.9","250","10","null","249","0.19760781824588777","0.19811349279350704"
"sweepy-sweep-488","2","88","5","2","0.9","250","10","null","249","0.21759107013543447","0.20329529013898637"
"ruby-sweep-487","2","87","5","2","0.9","250","10","null","249","0.148606080810229","0.1358955631653468"
"peach-sweep-486","2","86","5","2","0.9","250","10","null","249","0.2444875697294871","0.17581202586491904"
"giddy-sweep-485","2","85","5","2","0.9","250","10","null","249","0.2188139835993449","0.20830843283070455"
"classic-sweep-484","2","84","5","2","0.9","250","10","null","249","0.2228780835866928","0.2175594965616862"
"summer-sweep-483","2","83","5","2","0.9","250","10","null","249","0.1459845672051112","0.1477574782239066"
"graceful-sweep-482","2","82","5","2","0.9","250","10","null","249","0.21264164348443348","0.20992814070648616"
"eternal-sweep-481","2","81","5","2","0.9","250","10","null","249","0.21498360832532248","0.20141394866837395"
"apricot-sweep-480","2","80","5","2","0.9","250","10","null","249","0.1991077919801076","0.1863458083735572"
"drawn-sweep-479","2","79","5","2","0.9","250","10","null","249","0.1896763265132904","0.18197964628537497"
"misunderstood-sweep-478","2","78","5","2","0.9","250","10","null","249","0.16082825064659118","0.16329236527283986"
"clean-sweep-477","2","77","5","2","0.9","250","10","null","249","0.1650228331486384","0.1718980011012819"
"astral-sweep-476","2","76","5","2","0.9","250","10","null","249","0.18011521597703298","0.17880312965975867"
"eager-sweep-475","2","75","5","2","0.9","250","10","null","249","0.20187236964702607","0.19081780711809795"
"glowing-sweep-474","2","74","5","2","0.9","250","10","null","249","0.1792050967613856","0.15494597289297316"
"bright-sweep-473","2","73","5","2","0.9","250","10","null","249","0.1446403036514918","0.13783026801215278"
"driven-sweep-472","2","72","5","2","0.9","250","10","null","249","0.18767084379990895","0.1766342861784829"
"lilac-sweep-471","2","71","5","2","0.9","250","10","null","249","0.19526492555936176","0.17831650839911567"
"devoted-sweep-470","2","70","5","2","0.9","250","10","null","249","0.19241851766904192","0.19999255802896287"
"neat-sweep-469","2","69","5","2","0.9","250","10","null","249","0.17369321286678313","0.17084475590123072"
"unique-sweep-468","2","68","5","2","0.9","250","10","null","249","0.22605266471703847","0.22532286478413477"
"eternal-sweep-467","2","67","5","2","0.9","250","10","null","249","0.2095707029104233","0.20186306569311355"
"unique-sweep-466","2","66","5","2","0.9","250","10","null","249","0.19124250610669455","0.1777518004179001"
"worthy-sweep-465","2","65","5","2","0.9","250","10","null","249","0.21863639652729033","0.2021821919414732"
"distinctive-sweep-464","2","64","5","2","0.9","250","10","null","249","0.14659288227558137","0.14238070050875343"
"leafy-sweep-463","2","63","5","2","0.9","250","10","null","249","0.16885136763254802","0.16585915684700012"
"dainty-sweep-462","2","62","5","2","0.9","250","10","null","249","0.1949945628643036","0.19225124220053355"
"silvery-sweep-461","2","61","5","2","0.9","250","10","null","249","0.16996267040570576","0.15889999071757"
"summer-sweep-460","2","60","5","2","0.9","250","10","null","249","0.15660984019438426","0.1440006564060847"
"wise-sweep-459","2","59","5","2","0.9","250","10","null","249","0.19183948040008544","0.185112687614229"
"likely-sweep-458","2","58","5","2","0.9","250","10","null","249","0.15418244103590648","0.13988213770919375"
"dazzling-sweep-457","2","57","5","2","0.9","250","10","null","249","0.22453918159008027","0.21722681356800927"
"resilient-sweep-456","2","56","5","2","0.9","250","10","null","249","0.2046009620030721","0.2042684882879257"
"decent-sweep-455","2","55","5","2","0.9","250","10","null","249","0.14465362429618836","0.1503230525387658"
"amber-sweep-454","2","54","5","2","0.9","250","10","null","249","0.1805613855520884","0.1906013078159756"
"clear-sweep-453","2","53","5","2","0.9","250","10","null","249","0.18124725619951884","0.18892198039425745"
"expert-sweep-452","2","52","5","2","0.9","250","10","null","249","0.180735112229983","0.1729893151256773"
"solar-sweep-451","2","51","5","2","0.9","250","10","null","249","0.2111724078655243","0.1846588240729438"
"rich-sweep-450","2","50","5","2","0.9","250","10","null","249","0.20779801706473033","0.1751471158530977"
"copper-sweep-449","2","49","5","2","0.9","250","10","null","249","0.13411801556746164","0.13275285760561625"
"earnest-sweep-448","2","48","5","2","0.9","250","10","null","249","0.22997094492117565","0.2086277633905411"
"astral-sweep-447","2","47","5","2","0.9","250","10","null","249","0.1587338258822759","0.17426712579197354"
"jolly-sweep-446","2","46","5","2","0.9","250","10","null","249","0.18829470177491503","0.18867063721021016"
"glowing-sweep-445","2","45","5","2","0.9","250","10","null","249","0.10668261100848515","0.11452048255337607"
"summer-sweep-444","2","44","5","2","0.9","250","10","null","249","0.21604405144850417","0.21792633334795633"
"jolly-sweep-443","2","43","5","2","0.9","250","10","null","249","0.1976643035809199","0.18529356916745504"
"treasured-sweep-442","2","42","5","2","0.9","250","10","null","249","0.2041700541973114","0.21001198358005949"
"efficient-sweep-441","2","41","5","2","0.9","250","10","null","249","0.2144065886735916","0.20044626229339177"
