"Name","c_2","num_hidden_layers","c_1","omega","epochs","num_particles","num_per_layer","_wandb","epoch","val_loss","train_loss"
"eternal-sweep-651","2","1","2","1","250","100","10","null","249","0.1562699407339096","0.18113049202495152"
"happy-sweep-650","2","1","2","0.95","250","100","10","null","249","0.13533385793368022","0.13773371213012273"
"ancient-sweep-649","2","1","2","0.9","250","100","10","null","249","0.098855755229791","0.09910975280735228"
"volcanic-sweep-648","2","1","2","0.85","250","100","10","null","249","0.05680620471636454","0.051569498827060065"
"lemon-sweep-647","2","1","2","0.8","250","100","10","null","249","0.05053761651118596","0.03959771274692482"
"noble-sweep-646","2","1","2","0.75","250","100","10","null","249","0.05681320677200953","0.05959929501016935"
"upbeat-sweep-645","2","1","2","0.7","250","100","10","null","249","0.06861973851919174","0.04166453269620737"
"glowing-sweep-644","2","1","2","0.65","250","100","10","null","249","0.037183052549759545","0.03838829725152916"
"hopeful-sweep-643","2","1","2","0.6","250","100","10","null","249","0.05092070698738098","0.051289172056648465"
"sandy-sweep-642","2","1","2","0.55","250","100","10","null","249","0.10563309639692306","0.09234604371918571"
"genial-sweep-641","2","1","2","0.5","250","100","10","null","249","0.08716011146704356","0.06203932637969653"
"effortless-sweep-640","2","1","2","0.45","250","100","10","null","249","0.0776247262954712","0.057126981185542214"
"major-sweep-639","2","1","2","0.4","250","100","10","null","249","0.12707942326863603","0.06734466370609071"
"giddy-sweep-638","2","1","2","0.35","250","100","10","null","249","0.10605431497097016","0.09847513006793128"
"earnest-sweep-637","2","1","2","0.3","250","100","10","null","249","0.11854796608289082","0.10780914591418372"
"jumping-sweep-636","2","1","2","0.25","250","100","10","null","249","0.14530971546967825","0.12716315537691117"
"drawn-sweep-635","2","1","2","0.2","250","100","10","null","249","0.10897204180558524","0.11355023814572228"
"crisp-sweep-634","2","1","2","0.15","250","100","10","null","249","0.1543277899424235","0.1365735552377171"
"dauntless-sweep-633","2","1","2","0.1","250","100","10","null","249","0.17664834062258403","0.1306902191705174"
"dauntless-sweep-632","2","1","2","0.05","250","100","10","null","249","0.211316321293513","0.1333949840731091"
"devoted-sweep-631","2","1","2","0","250","100","10","null","249","0.13727198640505472","0.13781215680970085"
"fresh-sweep-630","2","1","2","1","250","98","10","null","249","0.22536977728207905","0.21348950564861296"
"zesty-sweep-629","2","1","2","0.95","250","98","10","null","249","0.15772910316785177","0.15299100511603886"
"daily-sweep-628","2","1","2","0.9","250","98","10","null","249","0.1291889677445094","0.13131779233614604"
"stoic-sweep-627","2","1","2","0.85","250","98","10","null","249","0.06404508948326111","0.05930645300282372"
"classic-sweep-626","2","1","2","0.8","250","98","10","null","249","0.0704975997408231","0.06129186790850427"
"legendary-sweep-625","2","1","2","0.75","250","98","10","null","249","0.07714292953411737","0.06143220803803868"
"upbeat-sweep-624","2","1","2","0.7","250","98","10","null","249","0.09424518793821336","0.05369062398870786"
"autumn-sweep-623","2","1","2","0.65","250","98","10","null","249","0.08325496514638266","0.056267244037654665"
"rose-sweep-622","2","1","2","0.6","250","98","10","null","249","0.10755763947963716","0.08797572884294722"
"misty-sweep-621","2","1","2","0.55","250","98","10","null","249","0.11687619388103485","0.09644680718580882"
"worldly-sweep-620","2","1","2","0.5","250","98","10","null","249","0.1214365820089976","0.09394329869084889"
"trim-sweep-619","2","1","2","0.45","250","98","10","null","249","0.08046495566765467","0.06709883875317044"
"light-sweep-618","2","1","2","0.4","250","98","10","null","249","0.12253807882467906","0.1064987098177274"
"smooth-sweep-616","2","1","2","0.3","250","98","10","null","249","0.11471477746963502","0.10507802350653542"
"kind-sweep-617","2","1","2","0.35","250","98","10","null","249","0.1131390283505122","0.11205918027295006"
"revived-sweep-615","2","1","2","0.25","250","98","10","null","249","0.11458815733591717","0.1066444453265932"
"devoted-sweep-613","2","1","2","0.15","250","98","10","null","249","0.14402295053005218","0.12203020966715283"
"proud-sweep-614","2","1","2","0.2","250","98","10","null","249","0.12168297171592712","0.11268864191240736"
"dark-sweep-612","2","1","2","0.1","250","98","10","null","249","0.15034090479214987","0.1236279911465115"
"sweet-sweep-610","2","1","2","0","250","98","10","null","249","0.12987490991751352","0.10850246846675872"
"smart-sweep-611","2","1","2","0.05","250","98","10","null","249","0.1261289656162262","0.10288713143931497"
"chocolate-sweep-609","2","1","2","1","250","96","10","null","249","0.15283146500587463","0.16758876277340784"
"neat-sweep-608","2","1","2","0.95","250","96","10","null","249","0.1453423023223877","0.16921069820721943"
"noble-sweep-607","2","1","2","0.9","250","96","10","null","249","0.12300446629524232","0.10550033036205504"
"golden-sweep-606","2","1","2","0.85","250","96","10","null","249","0.10302511900663376","0.08044382565551333"
"hardy-sweep-605","2","1","2","0.8","250","96","10","null","249","0.06296911189953486","0.035167372102538744"
"floral-sweep-604","2","1","2","0.75","250","96","10","null","249","0.11946884095668792","0.06348287926779853"
"cool-sweep-603","2","1","2","0.7","250","96","10","null","249","0.07855171213547389","0.037363576061195794"
"electric-sweep-602","2","1","2","0.65","250","96","10","null","249","0.07175926566123962","0.03992836616105504"
"fearless-sweep-601","2","1","2","0.6","250","96","10","null","249","0.06526677360137303","0.05698979289995299"
"zesty-sweep-600","2","1","2","0.55","250","96","10","null","249","0.06856393764416377","0.060442188961638346"
"balmy-sweep-599","2","1","2","0.5","250","96","10","null","249","0.09676160116990408","0.07664824351668358"
"stellar-sweep-598","2","1","2","0.45","250","96","10","null","249","0.12600312928358717","0.0892947698632876"
"celestial-sweep-597","2","1","2","0.4","250","96","10","null","249","0.069594344496727","0.0611164637737804"
"ethereal-sweep-596","2","1","2","0.35","250","96","10","null","249","0.0661896750330925","0.05849447614616818"
"smart-sweep-595","2","1","2","0.3","250","96","10","null","249","0.1560378283262253","0.10175902230872048"
"fallen-sweep-594","2","1","2","0.25","250","96","10","null","249","0.11837885429461796","0.1255145036511951"
"lunar-sweep-593","2","1","2","0.2","250","96","10","null","249","0.1216959536075592","0.1022955674264166"
