"Name","c_1","c_2","epochs","num_particles","num_per_layer","num_hidden_layers","omega","_wandb","val_loss","train_loss","epoch"
"dazzling-sweep-441","2","5","250","50","10","1","1","null","0.5202293197313944","0.3457807242870331","249"
"drawn-sweep-440","2","5","250","50","10","1","0.95","null","0.23028471668561296","0.2236978597111172","249"
"worldly-sweep-439","2","5","250","50","10","1","0.9","null","0.26713841160138446","0.22988138397534688","249"
"rural-sweep-438","2","5","250","50","10","1","0.85","null","0.24316662748654683","0.20971615182028877","249"
"swept-sweep-437","2","5","250","50","10","1","0.8","null","0.23723108967145284","0.20412805444664425","249"
"still-sweep-436","2","5","250","50","10","1","0.75","null","0.28504490852355957","0.2192371464437909","249"
"solar-sweep-435","2","5","250","50","10","1","0.7","null","0.32798749407132466","0.3163509143723382","249"
"tough-sweep-434","2","5","250","50","10","1","0.65","null","0.21809800167878468","0.1940893951389525","249"
"noble-sweep-433","2","5","250","50","10","1","0.6","null","0.27683907945950825","0.27983376019530826","249"
"wobbly-sweep-432","2","5","250","50","10","1","0.55","null","0.29639864166577656","0.2590455234050751","249"
"robust-sweep-431","2","5","250","50","10","1","0.5","null","0.18477044105529783","0.18615713285075297","249"
"spring-sweep-430","2","5","250","50","10","1","0.45","null","0.2694607158501943","0.2587294830216302","249"
"eager-sweep-429","2","5","250","50","10","1","0.4","null","0.27783134778340657","0.23468678196271264","249"
"rural-sweep-428","2","5","250","50","10","1","0.35","null","0.1903943449258804","0.20963762634330327","249"
"misty-sweep-427","2","5","250","50","10","1","0.3","null","0.1977836678425471","0.20943082835939195","249"
"swift-sweep-426","2","5","250","50","10","1","0.25","null","0.2375300387541453","0.216381326980061","249"
"genial-sweep-425","2","5","250","50","10","1","0.2","null","0.2486059288183848","0.24820699062612325","249"
"lyric-sweep-424","2","5","250","50","10","1","0.15","null","0.25651913285255434","0.23666324019432067","249"
"azure-sweep-423","2","5","250","50","10","1","0.1","null","0.1843171894550323","0.18192300101121267","249"
"elated-sweep-422","2","5","250","50","10","1","0.05","null","0.23721317251523336","0.22644044392638735","249"
"fresh-sweep-421","2","5","250","50","10","1","0","null","0.24407292604446412","0.220698278148969","249"
"daily-sweep-420","2","4.75","250","50","10","1","1","null","0.2766082187493642","0.24860432942708333","249"
"spring-sweep-419","2","4.75","250","50","10","1","0.95","null","0.28905260960261026","0.2234254002571106","249"
"cosmic-sweep-418","2","4.75","250","50","10","1","0.9","null","0.22553238968054456","0.2006512916750378","249"
"frosty-sweep-417","2","4.75","250","50","10","1","0.85","null","0.358259379863739","0.2696833713187112","249"
"unique-sweep-416","2","4.75","250","50","10","1","0.8","null","0.3603641947110494","0.2591346277130975","249"
"dry-sweep-415","2","4.75","250","50","10","1","0.75","null","0.266010449330012","0.21835415230857003","249"
"swift-sweep-414","2","4.75","250","50","10","1","0.7","null","0.225939013560613","0.19011981652842627","249"
"rosy-sweep-413","2","4.75","250","50","10","1","0.65","null","0.21401834686597188","0.18641196257538264","249"
"feasible-sweep-412","2","4.75","250","50","10","1","0.6","null","0.22582168777783712","0.18969722323947483","249"
"faithful-sweep-411","2","4.75","250","50","10","1","0.55","null","0.2594450573126475","0.2317312760485543","249"
"zany-sweep-410","2","4.75","250","50","10","1","0.5","null","0.26939157048861184","0.2477828860282898","249"
"balmy-sweep-409","2","4.75","250","50","10","1","0.45","null","0.2775320748488108","0.2356258928775787","249"
"azure-sweep-408","2","4.75","250","50","10","1","0.4","null","0.2387947916984558","0.21663873427444033","249"
"rose-sweep-407","2","4.75","250","50","10","1","0.35","null","0.2780129233996073","0.26574856638908384","249"
"wobbly-sweep-406","2","4.75","250","50","10","1","0.3","null","0.169293416539828","0.1808710998959011","249"
"faithful-sweep-405","2","4.75","250","50","10","1","0.25","null","0.18000386357307435","0.18618131081263223","249"
"honest-sweep-404","2","4.75","250","50","10","1","0.2","null","0.2308656891187032","0.206386313173506","249"
"lyric-sweep-403","2","4.75","250","50","10","1","0.15","null","0.21691831747690837","0.20483902129862044","249"
"charmed-sweep-402","2","4.75","250","50","10","1","0.1","null","0.2257732431093852","0.22829252150323656","249"
"fresh-sweep-401","2","4.75","250","50","10","1","0.05","null","0.2401534100373586","0.22258672813574473","249"
"effortless-sweep-400","2","4.75","250","50","10","1","0","null","0.24653913776079817","0.22636343472533757","249"
"fragrant-sweep-399","2","4.5","250","50","10","1","1","null","0.25953750014305116","0.23714976178275216","249"
"restful-sweep-398","2","4.5","250","50","10","1","0.95","null","0.3582458178202311","0.2530197885301378","249"
"stellar-sweep-397","2","4.5","250","50","10","1","0.9","null","0.3200376252333323","0.23634688953558605","249"
"mild-sweep-396","2","4.5","250","50","10","1","0.85","null","0.20077814161777496","0.18409288028875984","249"
"glamorous-sweep-395","2","4.5","250","50","10","1","0.8","null","0.3284818371136983","0.263351685139868","249"
"fearless-sweep-394","2","4.5","250","50","10","1","0.75","null","0.3272377689679464","0.25738488833109535","249"
"giddy-sweep-393","2","4.5","250","50","10","1","0.7","null","0.1956934303045273","0.17925864193174573","249"
"playful-sweep-392","2","4.5","250","50","10","1","0.65","null","0.21586916248003643","0.1845732308096356","249"
"pleasant-sweep-391","2","4.5","250","50","10","1","0.6","null","0.21808549165725707","0.19195266862710317","249"
"lucky-sweep-390","2","4.5","250","50","10","1","0.55","null","0.2450519303480784","0.20899047487311892","249"
"tough-sweep-389","2","4.5","250","50","10","1","0.5","null","0.3008604387442271","0.22510430879063076","249"
"stellar-sweep-388","2","4.5","250","50","10","1","0.45","null","0.246895831823349","0.23363455533981323","249"
"youthful-sweep-387","2","4.5","250","50","10","1","0.4","null","0.2609380503495534","0.23622569309340585","249"
"generous-sweep-386","2","4.5","250","50","10","1","0.35","null","0.2366857508818309","0.23854155010647243","249"
"scarlet-sweep-385","2","4.5","250","50","10","1","0.3","null","0.2179743448893229","0.2114866564671199","249"
"soft-sweep-384","2","4.5","250","50","10","1","0.25","null","0.20804913143316903","0.19450019233756596","249"
"noble-sweep-383","2","4.5","250","50","10","1","0.2","null","0.18955699801445008","0.18028281496630777","249"
"daily-sweep-382","2","4.5","250","50","10","1","0.15","null","0.21544536352157592","0.1957406888405482","249"
"dashing-sweep-381","2","4.5","250","50","10","1","0.1","null","0.2345669110616048","0.2170467972755432","249"
"cool-sweep-380","2","4.5","250","50","10","1","0.05","null","0.2407298227151235","0.22719215750694272","249"
"gallant-sweep-379","2","4.5","250","50","10","1","0","null","0.21317124366760257","0.2158397959338294","249"
"atomic-sweep-378","2","4.25","250","50","10","1","1","null","0.25262610912322997","0.19773097667429185","249"
"atomic-sweep-377","2","4.25","250","50","10","1","0.95","null","0.21662338574727377","0.20442076126734415","249"
